freq,unit,coicop,geo\TIME_PERIOD	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 
M,RCH_M,CP01223,EE	-2.1 	2.4 	-5.5 	4.2 	-5.9 	7.5 	0.3 	-0.2 	0.4 	: 
M,RCH_M,CP02,EE	0.6 	0.2 	1.2 	0.0 	-0.7 	1.0 	1.1 	0.3 	0.2 	: 
M,RCH_M,CP021,EE	0.9 	0.2 	1.8 	0.0 	-1.1 	1.3 	0.4 	0.0 	0.1 	: 
M,RCH_M,CP0211,EE	1.5 	-0.3 	0.1 	-1.1 	-1.6 	3.6 	-0.5 	-0.1 	1.6 	: 
M,RCH_M,CP02111,EE	1.8 	-0.6 	0.1 	-1.3 	-1.8 	4.6 	-1.1 	-0.2 	1.8 	: 
M,RCH_M,CP02112,EE	-1.8 	3.8 	0.3 	1.5 	0.2 	-3.9 	4.2 	0.6 	-0.1 	: 
M,RCH_M,CP0212,EE	-0.8 	1.4 	-1.0 	-0.6 	-2.2 	2.2 	1.4 	0.1 	0.5 	: 
M,RCH_M,CP02121,EE	-0.4 	0.5 	-1.3 	-0.6 	-1.7 	2.5 	2.0 	-0.1 	0.7 	: 
M,RCH_M,CP02122,EE	-1.4 	5.3 	0.6 	-1.3 	-3.0 	-1.4 	-5.1 	1.8 	0.4 	: 
M,RCH_M,CP02123,EE	-4.7 	5.1 	-0.9 	0.5 	-5.7 	5.6 	-1.1 	1.3 	-5.1 	: 
M,RCH_M,CP0213,EE	1.7 	-0.4 	5.9 	1.6 	0.2 	-1.9 	0.5 	0.0 	-2.1 	: 
M,RCH_M,CP02131,EE	1.7 	-0.4 	5.8 	1.6 	0.3 	-2.2 	0.5 	0.0 	-2.1 	: 
M,RCH_M,CP02133,EE	1.4 	-1.3 	7.5 	2.2 	-1.1 	2.2 	0.4 	-0.1 	-2.3 	: 
M,RCH_M,CP022,EE	0.0 	0.2 	0.0 	0.0 	0.0 	0.2 	2.7 	1.0 	0.5 	: 
M,RCH_M,CP02201,EE	0.0 	0.2 	0.0 	0.0 	0.0 	0.2 	2.7 	1.0 	0.5 	: 
M,RCH_M,CP03,EE	0.9 	5.2 	2.3 	1.8 	-1.2 	-6.1 	0.2 	3.2 	2.0 	: 
M,RCH_M,CP031,EE	0.6 	4.8 	3.4 	1.8 	0.0 	-5.9 	0.8 	3.7 	1.7 	: 
M,RCH_M,CP0311,EE	5.5 	1.6 	-1.7 	1.7 	4.6 	-9.8 	4.6 	7.0 	-7.3 	: 
M,RCH_M,CP0312,EE	0.5 	5.1 	3.5 	2.0 	-0.1 	-6.5 	0.9 	4.1 	1.9 	: 
M,RCH_M,CP03121,EE	1.4 	3.4 	1.7 	0.3 	-0.7 	-4.9 	2.8 	2.7 	0.9 	: 
M,RCH_M,CP03122,EE	0.4 	6.6 	4.4 	3.1 	0.3 	-7.6 	-0.8 	5.5 	3.7 	: 
M,RCH_M,CP03123,EE	-0.3 	3.5 	3.6 	1.4 	-0.5 	-4.8 	3.4 	1.8 	-2.7 	: 
M,RCH_M,CP0313,EE	1.3 	2.5 	2.4 	-1.6 	1.5 	-1.0 	-1.5 	-0.6 	-0.1 	: 
M,RCH_M,CP03131,EE	2.1 	3.0 	3.3 	-2.4 	1.5 	-0.7 	-1.6 	-2.1 	0.6 	: 
M,RCH_M,CP03132,EE	-2.9 	-0.8 	-2.7 	3.2 	1.6 	-1.8 	-1.1 	3.8 	-2.0 	: 
M,RCH_M,CP0314,EE	1.3 	0.4 	0.6 	2.7 	1.5 	2.2 	5.1 	0.0 	0.2 	: 
M,RCH_M,CP03141,EE	1.4 	-0.1 	0.5 	3.4 	1.8 	1.7 	6.2 	0.0 	0.0 	: 
M,RCH_M,CP03142,EE	0.9 	2.0 	0.9 	0.5 	0.6 	3.6 	2.1 	0.0 	0.6 	: 
M,RCH_M,CP032,EE	1.7 	6.4 	-0.5 	1.9 	-4.6 	-6.8 	-1.7 	1.5 	3.3 	: 
M,RCH_M,CP0321,EE	1.8 	6.5 	-0.6 	1.9 	-4.7 	-7.0 	-1.7 	1.5 	3.3 	: 
M,RCH_M,CP03211,EE	0.5 	5.5 	0.5 	3.0 	-2.7 	-4.9 	-1.2 	1.7 	2.6 	: 
M,RCH_M,CP03212,EE	2.3 	8.0 	-1.6 	1.8 	-6.1 	-9.5 	-1.3 	2.0 	2.1 	: 
M,RCH_M,CP03213,EE	2.0 	3.0 	1.1 	0.4 	-3.1 	-1.3 	-4.5 	-1.0 	9.9 	: 
M,RCH_M,CP0322,EE	0.0 	1.8 	1.3 	0.7 	0.8 	0.0 	0.1 	-0.2 	1.3 	: 
M,RCH_M,CP04,EE	0.9 	7.5 	-4.2 	5.1 	20.5 	-6.9 	-3.2 	3.5 	20.5 	: 
M,RCH_M,CP041,EE	4.0 	0.8 	2.8 	-1.7 	0.1 	3.0 	-2.1 	3.6 	12.4 	: 
M,RCH_M,CP0411,EE	4.0 	0.8 	2.8 	-1.7 	0.1 	3.0 	-2.1 	3.6 	12.4 	: 
M,RCH_M,CP043,EE	-0.5 	0.1 	1.0 	0.4 	2.3 	1.2 	0.4 	3.1 	3.5 	: 
M,RCH_M,CP0431,EE	-0.8 	-0.1 	0.8 	0.4 	2.8 	-0.2 	-0.1 	3.9 	4.2 	: 
M,RCH_M,CP0432,EE	0.2 	0.7 	1.5 	0.5 	1.3 	4.3 	1.4 	1.4 	2.0 	: 
M,RCH_M,CP04329,EE	0.2 	0.7 	1.5 	0.5 	1.3 	4.3 	1.4 	1.4 	2.0 	: 
M,RCH_M,CP044,EE	0.1 	0.0 	0.1 	0.1 	0.2 	1.0 	0.5 	0.1 	0.3 	: 
M,RCH_M,CP0441,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.6 	: 
M,RCH_M,CP0442,EE	0.0 	0.0 	0.0 	0.0 	0.0 	-1.0 	0.2 	0.0 	-0.1 	: 
M,RCH_M,CP0443,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.5 	: 
M,RCH_M,CP0444,EE	0.2 	0.1 	0.3 	0.4 	0.5 	3.1 	0.9 	0.2 	0.2 	: 
M,RCH_M,CP04441,EE	0.2 	0.1 	0.0 	0.4 	0.2 	0.6 	0.4 	-0.1 	-0.2 	: 
M,RCH_M,CP04442,EE	0.0 	0.0 	0.0 	0.0 	5.4 	2.9 	0.8 	0.0 	0.0 	: 
M,RCH_M,CP04449,EE	0.2 	0.1 	0.7 	0.4 	0.2 	7.6 	1.7 	0.7 	0.8 	: 
M,RCH_M,CP045,EE	0.6 	13.2 	-8.1 	9.5 	34.5 	-12.7 	-5.3 	4.7 	31.8 	: 
