freq,coicop,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,CP05511,EE	2.93 	2.37 	2.85 	2.42 
A,CP05512,EE	0.08 	0.20 	0.64 	0.35 
A,CP0552,EE	4.66 	4.99 	6.03 	6.34 
A,CP05521,EE	1.67 	1.69 	2.05 	1.84 
A,CP05522,EE	2.98 	3.30 	3.99 	4.50 
A,CP05523,EE	0.00 	0.00 	0.00 	0.00 
A,CP056,EE	10.74 	10.22 	12.89 	12.31 
A,CP0561,EE	10.17 	10.00 	12.51 	12.05 
A,CP05611,EE	4.02 	4.04 	5.92 	5.07 
A,CP05612,EE	6.15 	5.96 	6.58 	6.98 
A,CP0562,EE	0.57 	0.22 	0.38 	0.26 
A,CP05621,EE	0.00 	0.00 	0.00 	0.00 
A,CP05622,EE	0.57 	0.22 	0.38 	0.26 
A,CP05623,EE	0.00 	0.00 	0.00 	0.00 
A,CP05629,EE	0.00 	0.00 	0.00 	0.00 
A,CP06,EE	47.80 	48.81 	60.87 	54.24 
A,CP061,EE	24.12 	24.84 	30.06 	27.51 
A,CP0611,EE	18.96 	19.72 	23.00 	21.77 
A,CP0612,EE	1.54 	1.49 	2.39 	1.87 
A,CP06121,EE	0.71 	0.72 	1.09 	0.88 
A,CP06129,EE	0.83 	0.77 	1.30 	0.98 
A,CP0612_0613,EE	5.17 	5.12 	7.06 	5.74 
A,CP0613,EE	3.62 	3.64 	4.67 	3.87 
A,CP06131,EE	2.79 	2.81 	3.40 	2.78 
A,CP06132,EE	0.00 	0.00 	0.00 	0.00 
A,CP06133,EE	0.00 	0.00 	0.00 	0.00 
A,CP06139,EE	0.83 	0.83 	1.27 	1.09 
A,CP062,EE	16.50 	16.83 	22.34 	19.78 
A,CP0621,EE	2.06 	2.14 	4.28 	3.24 
A,CP06211,EE	0.00 	0.00 	0.00 	0.00 
A,CP06212,EE	2.06 	2.14 	4.28 	3.24 
A,CP0621_0623,EE	4.57 	4.53 	7.08 	6.47 
A,CP0622,EE	11.93 	12.30 	15.26 	13.32 
A,CP0623,EE	2.51 	2.39 	2.79 	3.23 
